$PMTK010,002*2D
$GNGGA,235943.094,,,,,0,0,,,M,,M,,*51
$GPGSA,A,1,,,,,,,,,,,,,,,*1E
$GLGSA,A,1,,,,,,,,,,,,,,,*02
$GNRMC,191710.000,A,4701.9561,N,00815.2814,E,0.57,73.99,121022,,,A*41
$GNRMC,191710.500,A,4701.9559,N,00815.2812,E,0.54,73.99,121022,,,A*4A
$GNRMC,191711.000,A,4701.9558,N,00815.2813,E,0.57,49.79,121022,,,A*4A
$GNRMC,191711.500,A,4701.9555,N,00815.2812,E,0.50,49.79,121022,,,A*44
$GNRMC,191712.000,A,4701.9554,N,00815.2813,E,0.26,49.79,121022,,,A*43
$GNRMC,191712.500,A,4701.9551,N,00815.2811,E,0.25,49.79,121022,,,A*42
$GNRMC,191713.000,A,4701.9549,N,00815.2811,E,0.28,49.79,121022,,,A*42
$GNRMC,191713.500,A,4701.9547,N,00815.2812,E,0.66,84.66,121022,,,A*4F
$GNRMC,191714.000,A,4701.9545,N,00815.2815,E,1.02,90.88,121022,,,A*4E
$GNRMC,191714.500,A,4701.9543,N,00815.2814,E,0.48,90.88,121022,,,A*43
$GNRMC,191715.000,A,4701.9541,N,00815.2814,E,0.48,90.88,121022,,,A*45
$GNRMC,191715.500,A,4701.9538,N,00815.2813,E,0.28,90.88,121022,,,A*4F
$GNRMC,191716.000,A,4701.9537,N,00815.2814,E,0.49,90.88,121022,,,A*46
$GNRMC,191716.500,A,4701.9535,N,00815.2815,E,0.54,105.20,121022,,,A*73
$GNRMC,191717.000,A,4701.9533,N,00815.2815,E,0.17,105.20,121022,,,A*76
$GNRMC,191717.500,A,4701.9532,N,00815.2814,E,0.13,105.20,121022,,,A*77
$GNRMC,191718.000,A,4701.9530,N,00815.2812,E,0.20,105.20,121022,,,A*79
$GNRMC,191718.500,A,4701.9529,N,00815.2811,E,0.07,105.20,121022,,,A*72
$GNRMC,191719.000,A,4701.9526,N,00815.2810,E,0.27,105.20,121022,,,A*7A
$GNRMC,191719.500,A,4701.9526,N,00815.2810,E,0.15,105.20,121022,,,A*7E
$GNRMC,191720.000,A,4701.9525,N,00815.2808,E,0.27,105.20,121022,,,A*7A
$GNRMC,191720.500,A,4701.9524,N,00815.2810,E,0.29,105.20,121022,,,A*79
$GNRMC,191721.000,A,4701.9523,N,00815.2810,E,0.39,105.20,121022,,,A*7B
$GNRMC,191721.500,A,4701.9519,N,00815.2809,E,0.46,105.20,121022,,,A*77
$GNRMC,191722.000,A,4701.9516,N,00815.2808,E,0.30,105.20,121022,,,A*7E
$GNRMC,191722.500,A,4701.9515,N,00815.2807,E,0.30,105.20,121022,,,A*77
$GNRMC,191723.000,A,4701.9514,N,00815.2805,E,0.33,105.20,121022,,,A*73
$GNRMC,191723.500,A,4701.9512,N,00815.2804,E,0.30,105.20,121022,,,A*72
$GNRMC,191724.000,A
